input,output
"Consider the following premises: There is at least one x for which if it is cold, then x is a poet. Can we infer the following from them? Answer yes or no: If it is cold, then there is at least one x for which x is a poet.",yes
"Consider the following premises: For all v, if it snows, then v is a nurse. Can we infer the following from them? Answer yes or no: If it snows, then for all v, v is a nurse.",yes
"Consider the following premises: If William were bored, then there is at least one x for which x is excited. Can we infer the following from them? Answer yes or no: There is at least one x for which if William were bored, then x is excited.",yes
"Consider the following premises: If for all v, v is a bartender, then it is windy. Can we infer the following from them? Answer yes or no: There is at least one v for which if v were a bartender, then it is windy.",yes
"Consider the following premises: If for all v, v will make tea, then Thomas is a nurse. Can we infer the following from them? Answer yes or no: There is at least one v for which if v makes tea, then Thomas is a nurse.",yes
"Consider the following premises: If it is windy, then there is at least one x for which x is an astronaut. Can we infer the following from them? Answer yes or no: There is at least one x for which if it is windy, then x is an astronaut.",yes
"Consider the following premises: If there is at least one y for which y will read a book, then James is working. Can we infer the following from them? Answer yes or no: For all y, if y reads a book, then James is working.",yes
"Consider the following premises: If James listens to a song, then for all x, x is fast. Can we infer the following from them? Answer yes or no: For all x, if James listens to a song, then x is fast.",yes
"Consider the following premises: There is at least one x for which if Jennifer were a mechanic, then x is an astronaut. Can we infer the following from them? Answer yes or no: If Jennifer were a mechanic, then there is at least one x for which x is an astronaut.",yes
"Consider the following premises: If Robert drinks water, then for all x, x is fast. Can we infer the following from them? Answer yes or no: For all x, if Robert drinks water, then x is fast.",yes
"Consider the following premises: If there is at least one v_4 for which v_4 is excited, then it is cold. Can we infer the following from them? Answer yes or no: For all v_4, if v_4 were excited, then it is cold.",yes
"Consider the following premises: If Michael were a taxi driver, then there is at least one u for which u will climb a mountain. Can we infer the following from them? Answer yes or no: For all u, u will drive a car.",no
"Consider the following premises: If Sarah drives a car, then there is at least one x for which x is a nurse. Can we infer the following from them? Answer yes or no: Susan is not playing squash.",no
"Consider the following premises: For all v_1, if Patricia drinks water, then v_1 is a scientist. Can we infer the following from them? Answer yes or no: Richard is working.",no
"Consider the following premises: There is at least one x for which if it is late, then x is sad. Can we infer the following from them? Answer yes or no: For all x, x will make tea.",no
"Consider the following premises: If it is cloudy, then for all v, v will play a game. Can we infer the following from them? Answer yes or no: Patricia is a soldier.",no
"Consider the following premises: There is at least one x_4 for which if Linda were a cashier, then x_4 is working. Can we infer the following from them? Answer yes or no: Sarah is not an artist.",no
"Consider the following premises: If there is at least one x for which x will drive a car, then it is snowing. Can we infer the following from them? Answer yes or no: Linda is not poor.",no
"Consider the following premises: If for all z, z will climb a mountain, then it is windy. Can we infer the following from them? Answer yes or no: Mary is not taking a plane.",no
"Consider the following premises: If for all x, x is a bartender, then William is reading a book. Can we infer the following from them? Answer yes or no: For all x, x is a lawyer.",no
"Consider the following premises: For all y, if it is late, then y is cooking. Can we infer the following from them? Answer yes or no: William is making tea.",no
"Consider the following premises: For all y_4, if John were a server, then y_4 is driving a car. Can we infer the following from them? Answer yes or no: For all y_4, y_4 is a nurse.",no
"Consider the following premises: For all x, if it is windy, then x is a taxi driver. Can we infer the following from them? Answer yes or no: Karen is not writing a letter.",no
"Consider the following premises: If Robert plays tennis, then there is at least one x for which x will listen to a song. Can we infer the following from them? Answer yes or no: Mary is not a sailor.",no
"Consider the following premises: There is at least one u_3 for which if William cooks, then u_3 is a bartender. Can we infer the following from them? Answer yes or no: For all u_3, u_3 will play squash.",no
"Consider the following premises: If Robert writes a letter, then there is at least one v for which v will play tennis. Can we infer the following from them? Answer yes or no: Robert is not climbing a mountain.",no
"Consider the following premises: For all u, if Elisabeth reads a book, then u is a soldier. Can we infer the following from them? Answer yes or no: Charles is not writing a letter.",no
"Consider the following premises: If Mary were a politician, then for all y, y is an astronaut. Can we infer the following from them? Answer yes or no: David is drinking water.",no
"Consider the following premises: There is at least one w for which if Michael climbs a mountain, then w is drinking water. Can we infer the following from them? Answer yes or no: Mary is an artist.",no
"Consider the following premises: If for all x, x will read a book, then Susan is an office clerk. Can we infer the following from them? Answer yes or no: Richard is not playing tennis.",no
"Consider the following premises: If for all y, y is a scientist, then Thomas is sleeping. Can we infer the following from them? Answer yes or no: Joseph is a poet.",no
"Consider the following premises: If there is at least one x for which x is a doctor, then Linda is an astronaut. Can we infer the following from them? Answer yes or no: Robert is not sleeping.",no
"Consider the following premises: If there is at least one x for which x is curious, then Susan is a scientist. Can we infer the following from them? Answer yes or no: Michael is not a janitor.",no
"Consider the following premises: There is at least one y for which if it is sunny, then y is making tea. Can we infer the following from them? Answer yes or no: Thomas is running.",no
"Consider the following premises: For all v_1, if Charles were sad, then v_1 is a politician. Can we infer the following from them? Answer yes or no: Barbara is not a server.",no
"Consider the following premises: For all v_1, if Elisabeth were poor, then v_1 is a scientist. Can we infer the following from them? Answer yes or no: Jessica is not reading a book.",no
"Consider the following premises: There is no y for which y is an artist. Can we infer the following from them? Answer yes or no: Not for all y, y is not an artist.",no
"Consider the following premises: For all u_3, u_3 will not write a letter. Can we infer the following from them? Answer yes or no: There is at least one u_3 for which u_3 will write a letter.",no
"Consider the following premises: There is no v for which v will write a letter. Can we infer the following from them? Answer yes or no: Not for all v, v will not write a letter.",no
"Consider the following premises: There is no x for which x is fast. Can we infer the following from them? Answer yes or no: Not for all x, x is not fast.",no
"Consider the following premises: For all u_3, u_3 is not a politician. Can we infer the following from them? Answer yes or no: There is at least one u_3 for which u_3 is a politician.",no
"Consider the following premises: There is at least one x for which x will not read a book. Can we infer the following from them? Answer yes or no: For all x, x will read a book.",no
"Consider the following premises: For all x, x will not drink water. Can we infer the following from them? Answer yes or no: There is at least one x for which x will drink water.",no
"Consider the following premises: Not for all w_1, w_1 will play tennis. Can we infer the following from them? Answer yes or no: There is no w_1 for which w_1 will not play tennis.",no
"Consider the following premises: There is no w_3 for which w_3 will drive a car. Can we infer the following from them? Answer yes or no: Not for all w_3, w_3 will not drive a car.",no
"Consider the following premises: For all u, u will not sleep. Can we infer the following from them? Answer yes or no: There is at least one u for which u will sleep.",no
"Consider the following premises: Not for all y, y is an astronaut. Can we infer the following from them? Answer yes or no: There is no y for which y is not an astronaut.",no
"Consider the following premises: Not for all x, x will take a plane. Can we infer the following from them? Answer yes or no: There is no x for which x will not take a plane.",no
"Consider the following premises: There is no x for which x will make tea. Can we infer the following from them? Answer yes or no: Not for all x, x will not make tea.",no
"Consider the following premises: There is at least one x for which x is not excited. Can we infer the following from them? Answer yes or no: For all x, x is excited.",no
"Consider the following premises: There is at least one x for which x will not listen to a song. Can we infer the following from them? Answer yes or no: For all x, x will listen to a song.",no
"Consider the following premises: There is no u_3 for which u_3 will read a book. Can we infer the following from them? Answer yes or no: Not for all u_3, u_3 will not read a book.",no
"Consider the following premises: Not for all x, x is a lawyer. Can we infer the following from them? Answer yes or no: There is no x for which x is not a lawyer.",no
"Consider the following premises: Not for all y, y is a nurse. Can we infer the following from them? Answer yes or no: There is no y for which y is not a nurse.",no
"Consider the following premises: There is at least one x for which x will not play tennis. Can we infer the following from them? Answer yes or no: For all x, x will play tennis.",no
"Consider the following premises: Not for all x, x is excited. Can we infer the following from them? Answer yes or no: There is no x for which x is not excited.",no
"Consider the following premises: Not for all w_1, w_1 is bored. Can we infer the following from them? Answer yes or no: There is no w_1 for which w_1 is not bored.",no
"Consider the following premises: For all x, x will not make tea. Can we infer the following from them? Answer yes or no: There is at least one x for which x will make tea.",no
"Consider the following premises: Not for all y, y is a musician. Can we infer the following from them? Answer yes or no: There is no y for which y is not a musician.",no
"Consider the following premises: There is at least one x for which x will not drive a car. Can we infer the following from them? Answer yes or no: For all x, x will drive a car.",no
"Consider the following premises: There is no v for which v will work. Can we infer the following from them? Answer yes or no: Not for all v, v will not work.",no
"Consider the following premises: There is no u for which u will work. Can we infer the following from them? Answer yes or no: For all u, u will not work.",yes
"Consider the following premises: There is at least one x for which x will not take a plane. Can we infer the following from them? Answer yes or no: Not for all x, x will take a plane.",yes
"Consider the following premises: For all x, x will not go running. Can we infer the following from them? Answer yes or no: There is no x for which x will go running.",yes
"Consider the following premises: For all x, x will not go running. Can we infer the following from them? Answer yes or no: There is no x for which x will go running.",yes
"Consider the following premises: There is no u for which u is a carpenter. Can we infer the following from them? Answer yes or no: For all u, u is not a carpenter.",yes
"Consider the following premises: There is at least one x for which x is not a musician. Can we infer the following from them? Answer yes or no: Not for all x, x is a musician.",yes
"Consider the following premises: For all x, x is not a poet. Can we infer the following from them? Answer yes or no: There is no x for which x is a poet.",yes
"Consider the following premises: There is no u for which u will play tennis. Can we infer the following from them? Answer yes or no: For all u, u will not play tennis.",yes
"Consider the following premises: Not for all y, y is rich. Can we infer the following from them? Answer yes or no: There is at least one y for which y is not rich.",yes
"Consider the following premises: Not for all z_4, z_4 will drink water. Can we infer the following from them? Answer yes or no: There is at least one z_4 for which z_4 will not drink water.",yes
"Consider the following premises: Not for all v, v is a bartender. Can we infer the following from them? Answer yes or no: There is at least one v for which v is not a bartender.",yes
"Consider the following premises: There is no v for which v is a police officer. Can we infer the following from them? Answer yes or no: For all v, v is not a police officer.",yes
"Consider the following premises: There is no x_2 for which x_2 will drive a car. Can we infer the following from them? Answer yes or no: For all x_2, x_2 will not drive a car.",yes
"Consider the following premises: Not for all v, v is a musician. Can we infer the following from them? Answer yes or no: There is at least one v for which v is not a musician.",yes
"Consider the following premises: There is no u for which u will listen to a song. Can we infer the following from them? Answer yes or no: For all u, u will not listen to a song.",yes
"Consider the following premises: For all x, x will not play tennis. Can we infer the following from them? Answer yes or no: There is no x for which x will play tennis.",yes
"Consider the following premises: Not for all x, x will sleep. Can we infer the following from them? Answer yes or no: There is at least one x for which x will not sleep.",yes
"Consider the following premises: There is no u for which u is a taxi driver. Can we infer the following from them? Answer yes or no: For all u, u is not a taxi driver.",yes
"Consider the following premises: There is no x for which x will play a game. Can we infer the following from them? Answer yes or no: For all x, x will not play a game.",yes
"Consider the following premises: There is no y for which y will cook. Can we infer the following from them? Answer yes or no: For all y, y will not cook.",yes
"Consider the following premises: There is no x for which x will drink water. Can we infer the following from them? Answer yes or no: For all x, x will not drink water.",yes
"Consider the following premises: Not for all x, x will climb a mountain. Can we infer the following from them? Answer yes or no: There is at least one x for which x will not climb a mountain.",yes
"Consider the following premises: There is at least one x for which x is not a writer. Can we infer the following from them? Answer yes or no: Not for all x, x is a writer.",yes
"Consider the following premises: Not for all z_4, z_4 is a politician. Can we infer the following from them? Answer yes or no: There is at least one z_4 for which z_4 is not a politician.",yes
"Consider the following premises: There is at least one x for which x will not make tea. Can we infer the following from them? Answer yes or no: Not for all x, x will make tea.",yes
"Consider the following premises: There is at least one x for which x is not an office clerk. Can we infer the following from them? Answer yes or no: For all x, x is a scientist.",no
"Consider the following premises: For all x, x will not cook. Can we infer the following from them? Answer yes or no: For all x, x is a server.",no
"Consider the following premises: Not for all w_3, w_3 is a writer. Can we infer the following from them? Answer yes or no: For all w_3, w_3 will go running.",no
Consider the following premises: There is no x for which x is poor. Can we infer the following from them? Answer yes or no: Barbara is not listening to a song.,no
Consider the following premises: There is no y for which y will listen to a song. Can we infer the following from them? Answer yes or no: Robert is not playing tennis.,no
Consider the following premises: There is at least one x for which x will not work. Can we infer the following from them? Answer yes or no: Jessica is not sad.,no
"Consider the following premises: There is at least one x for which x will not go running. Can we infer the following from them? Answer yes or no: For all x, x will make tea.",no
"Consider the following premises: There is no x for which x will go running. Can we infer the following from them? Answer yes or no: For all x, x will make tea.",no
"Consider the following premises: Not for all y, y will listen to a song. Can we infer the following from them? Answer yes or no: For all y, y will cook.",no
"Consider the following premises: For all x, x will not sleep. Can we infer the following from them? Answer yes or no: Richard is a writer.",no
"Consider the following premises: For all x, x will not take a plane. Can we infer the following from them? Answer yes or no: For all x, x is an artist.",no
Consider the following premises: There is at least one x for which x will not play a game. Can we infer the following from them? Answer yes or no: William is taking a plane.,no
Consider the following premises: There is no x for which x will play tennis. Can we infer the following from them? Answer yes or no: David is not playing a game.,no
"Consider the following premises: Not for all x, x is an artist. Can we infer the following from them? Answer yes or no: Linda is working.",no
Consider the following premises: There is at least one x for which x will not make tea. Can we infer the following from them? Answer yes or no: Michael is driving a car.,no
"Consider the following premises: There is no x for which x is an artist. Can we infer the following from them? Answer yes or no: For all x, x is a doctor.",no
Consider the following premises: There is no x for which x is sad. Can we infer the following from them? Answer yes or no: Patricia is not drinking water.,no
"Consider the following premises: Not for all u, u will go running. Can we infer the following from them? Answer yes or no: Sarah is a doctor.",no
Consider the following premises: There is no x for which x will drive a car. Can we infer the following from them? Answer yes or no: Patricia is not a mechanic.,no
Consider the following premises: There is no v_4 for which v_4 is a politician. Can we infer the following from them? Answer yes or no: Karen is not working.,no
"Consider the following premises: There is no x for which x is a sailor. Can we infer the following from them? Answer yes or no: For all x, x is rich.",no
"Consider the following premises: For all x, x is not an astronaut. Can we infer the following from them? Answer yes or no: For all x, x is a carpenter.",no
"Consider the following premises: There is at least one x for which x will not sleep. Can we infer the following from them? Answer yes or no: For all x, x will play a game.",no
Consider the following premises: There is no z for which z will write a letter. Can we infer the following from them? Answer yes or no: Linda is not a doctor.,no
Consider the following premises: There is no x for which x will work. Can we infer the following from them? Answer yes or no: Elisabeth is not a nurse.,no
Consider the following premises: It is cloudy. Can we infer the following from them? Answer yes or no: It is not cloudy.,no
Consider the following premises: Sarah is sad. Can we infer the following from them? Answer yes or no: Sarah is not sad.,no
Consider the following premises: Sarah is a doctor. Can we infer the following from them? Answer yes or no: Sarah is not a doctor.,no
Consider the following premises: Barbara is rich. Can we infer the following from them? Answer yes or no: Barbara is not rich.,no
Consider the following premises: Jessica is a nurse. Can we infer the following from them? Answer yes or no: Jessica is not a nurse.,no
Consider the following premises: Elisabeth is running. Can we infer the following from them? Answer yes or no: Elisabeth is not running.,no
Consider the following premises: It is cold. Can we infer the following from them? Answer yes or no: It is not cold.,no
Consider the following premises: Barbara is climbing a mountain. Can we infer the following from them? Answer yes or no: Barbara is not climbing a mountain.,no
Consider the following premises: Thomas is a doctor. Can we infer the following from them? Answer yes or no: Thomas is not a doctor.,no
Consider the following premises: James is playing tennis. Can we infer the following from them? Answer yes or no: James is not playing tennis.,no
Consider the following premises: It is late. Can we infer the following from them? Answer yes or no: It is not late.,no
Consider the following premises: It is windy. Can we infer the following from them? Answer yes or no: It is not windy.,no
Consider the following premises: Joseph is a soldier. Can we infer the following from them? Answer yes or no: Joseph is not a soldier.,no
Consider the following premises: Barbara is reading a book. Can we infer the following from them? Answer yes or no: Barbara is not reading a book.,no
Consider the following premises: It is raining. Can we infer the following from them? Answer yes or no: It is not raining.,no
Consider the following premises: Charles is an electrician. Can we infer the following from them? Answer yes or no: Charles is not an electrician.,no
Consider the following premises: Sarah is writing a letter. Can we infer the following from them? Answer yes or no: Sarah is not writing a letter.,no
Consider the following premises: It is cloudy. Can we infer the following from them? Answer yes or no: It is not cloudy.,no
Consider the following premises: David is excited. Can we infer the following from them? Answer yes or no: David is not excited.,no
Consider the following premises: It is snowing. Can we infer the following from them? Answer yes or no: It is not snowing.,no
Consider the following premises: It is sunny. Can we infer the following from them? Answer yes or no: It is not sunny.,no
Consider the following premises: It is cold. Can we infer the following from them? Answer yes or no: It is not cold.,no
Consider the following premises: Barbara is climbing a mountain. Can we infer the following from them? Answer yes or no: Barbara is not climbing a mountain.,no
Consider the following premises: It is late. Can we infer the following from them? Answer yes or no: It is not late.,no
Consider the following premises: It is cloudy. Can we infer the following from them? Answer yes or no: It is not cloudy.,no
Consider the following premises: It is cold. Can we infer the following from them? Answer yes or no: It is cold or Sarah is poor.,yes
Consider the following premises: It is sunny. Can we infer the following from them? Answer yes or no: It is sunny or John is a scientist.,yes
Consider the following premises: William is playing tennis. Can we infer the following from them? Answer yes or no: William is playing tennis or it is cloudy.,yes
Consider the following premises: David is playing a game. Can we infer the following from them? Answer yes or no: David is playing a game or it is raining.,yes
Consider the following premises: Robert is driving a car. Can we infer the following from them? Answer yes or no: Robert is driving a car or Michael is a carpenter.,yes
Consider the following premises: It is cloudy. Can we infer the following from them? Answer yes or no: It is cloudy or it is cold.,yes
Consider the following premises: Elisabeth is playing squash. Can we infer the following from them? Answer yes or no: Elisabeth is playing squash or Elisabeth is running.,yes
Consider the following premises: It is late. Can we infer the following from them? Answer yes or no: It is late or David is a writer.,yes
Consider the following premises: Robert is a janitor. Can we infer the following from them? Answer yes or no: Robert is a janitor or Robert is a writer.,yes
Consider the following premises: It is raining. Can we infer the following from them? Answer yes or no: It is raining or Richard is driving a car.,yes
Consider the following premises: John is reading a book. Can we infer the following from them? Answer yes or no: John is reading a book or it is raining.,yes
Consider the following premises: It is snowing. Can we infer the following from them? Answer yes or no: It is snowing or Charles is a poet.,yes
Consider the following premises: It is snowing. Can we infer the following from them? Answer yes or no: It is snowing or it is cloudy.,yes
Consider the following premises: Sarah is an artist. Can we infer the following from them? Answer yes or no: Sarah is an artist or Linda is reading a book.,yes
Consider the following premises: Susan is a bartender. Can we infer the following from them? Answer yes or no: Susan is a bartender or Joseph is a soldier.,yes
Consider the following premises: James is an artist. Can we infer the following from them? Answer yes or no: James is an artist or Karen is a soldier.,yes
Consider the following premises: Jessica is sleeping. Can we infer the following from them? Answer yes or no: Jessica is sleeping or Patricia is bored.,yes
Consider the following premises: Patricia is drinking water. Can we infer the following from them? Answer yes or no: Patricia is drinking water or it is sunny.,yes
Consider the following premises: Linda is a carpenter. Can we infer the following from them? Answer yes or no: Linda is a carpenter or it is cloudy.,yes
Consider the following premises: It is windy. Can we infer the following from them? Answer yes or no: It is windy or it is overcast.,yes
Consider the following premises: It is raining. Can we infer the following from them? Answer yes or no: It is raining or Linda is a writer.,yes
Consider the following premises: It is windy. Can we infer the following from them? Answer yes or no: It is windy or Jessica is working.,yes
Consider the following premises: Karen is running. Can we infer the following from them? Answer yes or no: Karen is running or Karen is taking a plane.,yes
Consider the following premises: Jessica is a soldier. Can we infer the following from them? Answer yes or no: Jessica is a soldier or James is cooking.,yes
Consider the following premises: Robert is writing a letter. Can we infer the following from them? Answer yes or no: Robert is writing a letter or Susan is taking a plane.,yes
Consider the following premises: It is cold. Can we infer the following from them? Answer yes or no: David is not a bartender.,no
Consider the following premises: Thomas is writing a letter. Can we infer the following from them? Answer yes or no: Sarah is not working.,no
Consider the following premises: Elisabeth is running. Can we infer the following from them? Answer yes or no: Patricia is drinking water.,no
Consider the following premises: It is snowing. Can we infer the following from them? Answer yes or no: William is a poet.,no
Consider the following premises: Mary is an astronaut. Can we infer the following from them? Answer yes or no: It is not cloudy.,no
Consider the following premises: Sarah is listening to a song. Can we infer the following from them? Answer yes or no: Joseph is drinking water.,no
Consider the following premises: James is a writer. Can we infer the following from them? Answer yes or no: It is sunny.,no
Consider the following premises: Susan is reading a book. Can we infer the following from them? Answer yes or no: Michael is poor.,no
Consider the following premises: It is sunny. Can we infer the following from them? Answer yes or no: David is not drinking water.,no
Consider the following premises: Linda is a scientist. Can we infer the following from them? Answer yes or no: It is not raining.,no
Consider the following premises: Robert is a writer. Can we infer the following from them? Answer yes or no: John is not fast.,no
Consider the following premises: David is rich. Can we infer the following from them? Answer yes or no: Patricia is working.,no
Consider the following premises: William is reading a book. Can we infer the following from them? Answer yes or no: James is playing a game.,no
Consider the following premises: Linda is bored. Can we infer the following from them? Answer yes or no: It is not late.,no
Consider the following premises: Elisabeth is a musician. Can we infer the following from them? Answer yes or no: It is cloudy.,no
Consider the following premises: Joseph is sleeping. Can we infer the following from them? Answer yes or no: It is not overcast.,no
Consider the following premises: Michael is a carpenter. Can we infer the following from them? Answer yes or no: Mary is climbing a mountain.,no
Consider the following premises: Karen is playing tennis. Can we infer the following from them? Answer yes or no: It is not windy.,no
Consider the following premises: James is a bartender. Can we infer the following from them? Answer yes or no: Sarah is a server.,no
Consider the following premises: Richard is drinking water. Can we infer the following from them? Answer yes or no: Michael is not curious.,no
Consider the following premises: Patricia is a police officer. Can we infer the following from them? Answer yes or no: Thomas is not fast.,no
Consider the following premises: Jessica is a sailor. Can we infer the following from them? Answer yes or no: Thomas is not a nurse.,no
Consider the following premises: It is snowing. Can we infer the following from them? Answer yes or no: Karen is rich.,no
Consider the following premises: Sarah is climbing a mountain. Can we infer the following from them? Answer yes or no: Patricia is not taking a plane.,no
Consider the following premises: It is late. Can we infer the following from them? Answer yes or no: It is not overcast.,no
Consider the following premises: William is a janitor. William is a janitor or Charles is a soldier. Can we infer the following from them? Answer yes or no: Charles is a soldier.,no
Consider the following premises: Karen is climbing a mountain or Joseph is sleeping. Karen is climbing a mountain. Can we infer the following from them? Answer yes or no: Joseph is sleeping.,no
Consider the following premises: It is sunny or Susan is listening to a song. It is sunny. Can we infer the following from them? Answer yes or no: Susan is listening to a song.,no
Consider the following premises: David is making tea or it is sunny. David is making tea. Can we infer the following from them? Answer yes or no: It is sunny.,no
Consider the following premises: Susan is a nurse or it is cloudy. Susan is a nurse. Can we infer the following from them? Answer yes or no: It is cloudy.,no
Consider the following premises: It is raining or it is windy. It is raining. Can we infer the following from them? Answer yes or no: It is windy.,no
Consider the following premises: Linda is reading a book. Linda is reading a book or William is running. Can we infer the following from them? Answer yes or no: William is running.,no
Consider the following premises: Susan is a cashier. Susan is a cashier or it is windy. Can we infer the following from them? Answer yes or no: It is windy.,no
Consider the following premises: Susan is drinking water or Mary is making tea. Susan is drinking water. Can we infer the following from them? Answer yes or no: Mary is making tea.,no
Consider the following premises: Elisabeth is playing squash or Susan is reading a book. Elisabeth is playing squash. Can we infer the following from them? Answer yes or no: Susan is reading a book.,no
Consider the following premises: James is writing a letter. James is writing a letter or Charles is a writer. Can we infer the following from them? Answer yes or no: Charles is a writer.,no
Consider the following premises: Barbara is a police officer or Richard is playing tennis. Barbara is a police officer. Can we infer the following from them? Answer yes or no: Richard is playing tennis.,no
Consider the following premises: Patricia is a police officer. Patricia is a police officer or James is a lawyer. Can we infer the following from them? Answer yes or no: James is a lawyer.,no
Consider the following premises: It is late. It is late or Robert is a police officer. Can we infer the following from them? Answer yes or no: Robert is a police officer.,no
Consider the following premises: Jennifer is a server. Jennifer is a server or John is a janitor. Can we infer the following from them? Answer yes or no: John is a janitor.,no
Consider the following premises: Mary is an office clerk. Mary is an office clerk or it is cold. Can we infer the following from them? Answer yes or no: It is cold.,no
Consider the following premises: David is a scientist. David is a scientist or Robert is an office clerk. Can we infer the following from them? Answer yes or no: Robert is an office clerk.,no
Consider the following premises: It is raining. It is raining or Patricia is a mechanic. Can we infer the following from them? Answer yes or no: Patricia is a mechanic.,no
Consider the following premises: It is late. It is late or Joseph is driving a car. Can we infer the following from them? Answer yes or no: Joseph is driving a car.,no
Consider the following premises: It is sunny. It is sunny or Elisabeth is a writer. Can we infer the following from them? Answer yes or no: Elisabeth is a writer.,no
Consider the following premises: David is an artist. David is an artist or it is cloudy. Can we infer the following from them? Answer yes or no: It is cloudy.,no
Consider the following premises: It is windy or John is an artist. It is windy. Can we infer the following from them? Answer yes or no: John is an artist.,no
Consider the following premises: It is snowing or it is overcast. It is snowing. Can we infer the following from them? Answer yes or no: It is overcast.,no
Consider the following premises: Susan is sleeping or Patricia is curious. Susan is sleeping. Can we infer the following from them? Answer yes or no: Patricia is curious.,no
Consider the following premises: It is raining or Robert is writing a letter. It is raining. Can we infer the following from them? Answer yes or no: Robert is writing a letter.,no
"Consider the following premises: David is an electrician. If it is cold, then David is an electrician. Can we infer the following from them? Answer yes or no: It is cold.",no
"Consider the following premises: If it is sunny, then Richard is poor. Richard is poor. Can we infer the following from them? Answer yes or no: It is sunny.",no
"Consider the following premises: Patricia is an office clerk. If John were a bartender, then Patricia is an office clerk. Can we infer the following from them? Answer yes or no: John is a bartender.",no
"Consider the following premises: Linda is curious. If Richard plays squash, then Linda is curious. Can we infer the following from them? Answer yes or no: Richard is playing squash.",no
"Consider the following premises: If Sarah were excited, then it is late. It is late. Can we infer the following from them? Answer yes or no: Sarah is excited.",no
"Consider the following premises: If Elisabeth were a sailor, then Linda is a bartender. Linda is a bartender. Can we infer the following from them? Answer yes or no: Elisabeth is a sailor.",no
"Consider the following premises: If Susan were a sailor, then Joseph is an office clerk. Joseph is an office clerk. Can we infer the following from them? Answer yes or no: Susan is a sailor.",no
"Consider the following premises: Patricia is driving a car. If Joseph were a politician, then Patricia is driving a car. Can we infer the following from them? Answer yes or no: Joseph is a politician.",no
"Consider the following premises: It is raining. If Mary reads a book, then it is raining. Can we infer the following from them? Answer yes or no: Mary is reading a book.",no
"Consider the following premises: If Robert were fast, then Susan is curious. Susan is curious. Can we infer the following from them? Answer yes or no: Robert is fast.",no
"Consider the following premises: William is rich. If Patricia were bored, then William is rich. Can we infer the following from them? Answer yes or no: Patricia is bored.",no
"Consider the following premises: If it is cold, then Richard is climbing a mountain. Richard is climbing a mountain. Can we infer the following from them? Answer yes or no: It is cold.",no
"Consider the following premises: It is late. If Patricia climbs a mountain, then it is late. Can we infer the following from them? Answer yes or no: Patricia is climbing a mountain.",no
"Consider the following premises: If it is cloudy, then Linda is cooking. Linda is cooking. Can we infer the following from them? Answer yes or no: It is cloudy.",no
"Consider the following premises: It is windy. If Sarah cooks, then it is windy. Can we infer the following from them? Answer yes or no: Sarah is cooking.",no
"Consider the following premises: Charles is making tea. If Susan cooks, then Charles is making tea. Can we infer the following from them? Answer yes or no: Susan is cooking.",no
"Consider the following premises: If it is cloudy, then Sarah is excited. Sarah is excited. Can we infer the following from them? Answer yes or no: It is cloudy.",no
"Consider the following premises: It is late. If it snows, then it is late. Can we infer the following from them? Answer yes or no: It is snowing.",no
"Consider the following premises: Jennifer is a lawyer. If Charles drinks water, then Jennifer is a lawyer. Can we infer the following from them? Answer yes or no: Charles is drinking water.",no
"Consider the following premises: If William were sad, then Thomas is listening to a song. Thomas is listening to a song. Can we infer the following from them? Answer yes or no: William is sad.",no
"Consider the following premises: It is raining. If Karen were a taxi driver, then it is raining. Can we infer the following from them? Answer yes or no: Karen is a taxi driver.",no
"Consider the following premises: It is late. If it is cold, then it is late. Can we infer the following from them? Answer yes or no: It is cold.",no
"Consider the following premises: If Robert writes a letter, then Jessica is a musician. Jessica is a musician. Can we infer the following from them? Answer yes or no: Robert is writing a letter.",no
"Consider the following premises: If Barbara were bored, then Karen is playing a game. Karen is playing a game. Can we infer the following from them? Answer yes or no: Barbara is bored.",no
"Consider the following premises: If it rains, then it is cloudy. It is cloudy. Can we infer the following from them? Answer yes or no: It is raining.",no
Consider the following premises: Richard is a lawyer or it is raining or it is late. Can we infer the following from them? Answer yes or no: Neither Richard is a lawyer or it is raining nor it is late.,no
"Consider the following premises: Thomas is curious, and Barbara is a mechanic and Richard is a politician. Can we infer the following from them? Answer yes or no: The claim that Thomas is curious and Barbara is a mechanic, and the claim that Richard is a politician cannot both be true.",no
"Consider the following premises: It is sunny, and Linda is sad and it is windy. Can we infer the following from them? Answer yes or no: The claim that it is sunny and Linda is sad, and the claim that it is windy cannot both be true.",no
"Consider the following premises: It is snowing, and Elisabeth is a taxi driver and Mary is playing squash. Can we infer the following from them? Answer yes or no: The claim that it is snowing and Elisabeth is a taxi driver, and the claim that Mary is playing squash cannot both be true.",no
"Consider the following premises: Robert is playing tennis, and Jennifer is a lawyer and it is raining. Can we infer the following from them? Answer yes or no: The claim that Robert is playing tennis and Jennifer is a lawyer, and the claim that it is raining cannot both be true.",no
Consider the following premises: William is a bartender or Patricia is a poet or Elisabeth is a server. Can we infer the following from them? Answer yes or no: Neither William is a bartender or Patricia is a poet nor Elisabeth is a server.,no
"Consider the following premises: Mary is fast, and Richard is working and Thomas is playing a game. Can we infer the following from them? Answer yes or no: The claim that Mary is fast and Richard is working, and the claim that Thomas is playing a game cannot both be true.",no
